,title,url,lead_par,date,country,region
0,"Analysis: what happens if Russia invades?",https://www.theguardian.com/world/2022/feb/19/analysis-what-can-the-west-expect-if-putin-gives-order-to-invade,"Russia is expected to attack simultaneously on several fronts but Ukraine’s armed forces will not be easily vanquished",2022-02-19T18:30:41Z,Russia,None
1,"Putin’s daughters targeted in US sanctions against Russia ",https://www.theguardian.com/world/2022/apr/06/eu-sanction-russia-reports-putin-daughters-ukraine,"Joe Biden links new measures directly to accounts of atrocities committed by Russian forces in Bucha",2022-04-06T15:44:22Z,Russia,None
2,"Switzerland adopts wholesale EU sanctions against Russia",https://www.theguardian.com/world/2022/feb/28/switzerland-adopts-wholesale-eu-sanctions-against-russia,"Measures do not undermine neutrality principle as Switzerland says it is acting in defence of international law",2022-02-28T16:58:36Z,Russia,None
3,"War in Ukraine: where has Russia attacked?",https://www.theguardian.com/world/2022/feb/24/war-ukraine-kyiv-map-where-has-russia-attacked,"Russian forces have launched missile and helicopter attacks around Ukraine and early signs suggest their goal is to encircle Kyiv",2022-02-24T19:54:49Z,Russia,None
4,"Russia bans Facebook and Instagram under ‘extremism’ law",https://www.theguardian.com/world/2022/mar/21/russia-bans-facebook-and-instagram-under-extremism-law,"Court in Moscow labels parent company Meta as ‘extremist’ amid crackdown on western media",2022-03-21T17:24:14Z,Russia,None
5,"Russia now synonymous with Bucha killings says Zelenskiy",https://www.theguardian.com/world/2022/apr/04/russia-now-synonymous-with-bucha-massacre-zelenskiy-says-amid-global-outcry-at-civilian-killings,"Ukraine president says worse atrocities may yet be found elsewhere as satellite images show mass grave near church in Bucha",2022-04-04T04:55:51Z,Russia,None
6,"Pro-Russia cavalcade provokes shock and anger in Ireland",https://www.theguardian.com/world/2022/apr/12/pro-russia-cavalcade-provokes-shock-anger-ireland,"Outcry after group of vehicles led by 4x4 displaying Russian military’s Z symbol drive in convoy down M50",2022-04-12T11:58:26Z,Russia,None
7,"Russia blocks access to Facebook and Twitter",https://www.theguardian.com/world/2022/mar/04/russia-completely-blocks-access-to-facebook-and-twitter,"Move to block Facebook and Twitter comes as the government passed a bill the criminalizes ‘fake’ reports against the war",2022-03-04T20:05:50Z,Russia,None
8,"E-scooter scheme could close over ‘dubious’ Russia links",https://www.theguardian.com/uk-news/2022/apr/11/e-scooter-scheme-could-close-over-dubious-russia-links,"West of England mayor says Russian investors must sell their shares in Swedish firm Voi or ‘other e-scooters are available’",2022-04-11T18:21:17Z,Russia,None
9,"What fantasies of a coup in Russia ignore | Rajan Menon",https://www.theguardian.com/commentisfree/2022/mar/28/vladimir-putin-russia-coup,"Let’s assume for a moment that Putin does fall. What happens next? Here are three scenarios",2022-03-28T10:21:51Z,Russia,None
10,"Pro-Russia cavalcade provokes shock and anger in Ireland",https://www.theguardian.com/world/2022/apr/12/pro-russia-cavalcade-provokes-shock-anger-ireland,"Outcry after group of vehicles led by 4x4 displaying Russian military’s Z symbol drive in convoy down M50",2022-04-12T11:58:26Z,Russia,None
11,"‘Embarrassing’: Russia scrambles to copy banned social media platforms",https://www.theguardian.com/media/2022/mar/30/russia-banned-social-media-platforms-rossgram,"Rossgram a substitute for Instagram mocked as Russian PM announces policy of ignoring copyright",2022-03-30T19:33:41Z,Russia,None
12,"Russia bombards Chernihiv hours after pledging to halt shelling",https://www.theguardian.com/world/2022/mar/30/ukraine-russia-bombards-chernihiv-hours-after-pledging-to-halt-shelling,"Mayor of northern Ukrainian city says there is no evidence of any withdrawal of Russian forces",2022-03-30T08:19:30Z,Russia,None
13,"Can anyone in Russia stop Putin now? | Angus Roxburgh",https://www.theguardian.com/commentisfree/2022/feb/24/ukraine-russia-vladimir-putin-kremlin,"With opposition outlawed and a parliament full of placemen all the flickering lights of reason in the Kremlin have gone",2022-02-24T16:40:54Z,Russia,None
14,"Thursday briefing: Russia launches attack on Ukraine",https://www.theguardian.com/world/2022/feb/24/thursday-briefing-russia-invades-ukraine,"Explosions and airstrikes reported including attack on fighter plane base … dismay at UN security council … President Zelenskiy vows ‘we will defend ourselves’",2022-02-24T06:24:27Z,Russia,None
15,"Could Russia shut down the internet in Ukraine?",https://www.theguardian.com/world/2022/mar/01/could-russia-shut-down-the-internet-in-ukraine,"Analysis: On a national level web access has so far been largely unaffected by the invasion and supports daily life",2022-03-01T16:50:13Z,Russia,None
16,"Ukrainian activist berates Boris Johnson over Russia response",https://www.theguardian.com/politics/2022/mar/01/ukrainian-activist-berates-boris-johnson-over-russia-response,"Daria Kaleniuk interrupts media conference in Warsaw to press UK PM over sanctions and no-fly zone",2022-03-01T15:51:03Z,Russia,None
17,"Tui Group terminates branding deal with Tui Russia",https://www.theguardian.com/business/2022/mar/10/tui-group-terminates-branding-deal-russia-alexei-mordashov-eu-sanctions,"Holiday firm axes deal allowing Alexei Mordashov to use its name after oligarch was sanctioned by EU",2022-03-10T10:31:04Z,Russia,None
18,"Thursday briefing: Fears Russia may use chemical weapons",https://www.theguardian.com/world/2022/mar/10/thursday-briefing-fears-russia-may-use-chemical-weapons,"Alarm as Moscow makes ‘preposterous’ claim of US-Ukraine bioweapons … Sunak under fresh pressure over cost of living … hack your happy hormones",2022-03-10T06:31:27Z,Russia,None
19,"BP’s ties to Russia draw UK government ‘concern’",https://www.theguardian.com/business/2022/feb/25/bps-ties-to-russia-draw-uk-government-concern,"Oil firm holds 22% stake in Rosneft run by Putin’s de facto deputy and made $2.7bn profit from arrangement last year",2022-02-25T19:12:43Z,Russia,None
20,"Burberry joins exodus of luxury brands from Russia",https://www.theguardian.com/fashion/2022/mar/06/burberry-joins-exodus-of-luxury-brands-from-russia,"Designer labels exempt from EU sanctions but face disruption to shipments and business transactions",2022-03-06T19:30:55Z,Russia,None
21,"Ukraine suspends 11 political parties with links to Russia",https://www.theguardian.com/world/2022/mar/20/ukraine-suspends-11-political-parties-with-links-to-russia,"Zelenskiy says parties such as Viktor Medvedchuk’s Opposition Platform for Life are ‘aimed at division or collusion’",2022-03-20T14:37:50Z,Russia,None
22,"Airbnb suspends all operations in Russia and Belarus",https://www.theguardian.com/technology/2022/mar/04/airbnb-suspends-all-operations-in-russia-and-belarus,"Ban extends to users from those countries trying to book after Vladimir Putin’s invasion of Ukraine",2022-03-04T13:13:59Z,Russia,None
23,"Russia ‘using weapons smuggled by Iran from Iraq against Ukraine’",https://www.theguardian.com/world/2022/apr/12/russia-using-weapons-smuggled-by-iran-from-iraq-against-ukraine,"Iraqi militias and others say undercover networks being used to supply materiel such as RPGs and anti-tank missiles",2022-04-12T03:30:07Z,Russia,None
24,"Stay or go? Ukrainian mayors’ agonising choice as Russia invaded",https://www.theguardian.com/world/2022/apr/16/stay-go-ukrainian-mayors-agonising-choice-russia-invaded,"The decision to remain can inspire local people to resist but also have deadly consequences",2022-04-16T06:00:53Z,Russia,None
25,"Russia reasserts right to use nuclear weapons in Ukraine",https://www.theguardian.com/world/2022/mar/26/russia-reasserts-right-to-use-nuclear-weapons-in-ukraine-putin,"Senior politician Dmitry Medvedev says Moscow’s nuclear doctrine does not require enemy state to use such weapons first",2022-03-26T11:42:19Z,Russia,None
26,"BBC to resume English language reporting in Russia",https://www.theguardian.com/media/2022/mar/08/bbc-resume-english-language-reporting-russia,"Broadcaster had paused its reporting in country after passing of law that could impose jail terms over ‘fake’ news",2022-03-08T18:27:09Z,Russia,None
27,"Russia accuses Kyiv of deadly missile attack on Donetsk ",https://www.theguardian.com/world/2022/mar/14/russia-accuses-kyiv-of-deadly-missile-attack-on-donetsk,"Ukraine denies firing Tochka-U missile which Moscow says killed 23 people in residential area of city ",2022-03-14T18:08:09Z,Russia,None
28,"First Thing: Talks between Russia and Ukraine to resume",https://www.theguardian.com/us-news/2022/mar/14/first-thing-talks-russia-ukraine-zelenskiy-putin,"Zelenskiy pushes for meeting with Putin after deadly strike near Polish border. Plus are there more wheels or doors in the world?",2022-03-14T11:42:30Z,Russia,None
29,"Russia sending thousands more troops to Ukraine border",https://www.theguardian.com/world/2022/feb/14/russia-sending-thousands-more-troops-to-ukraine-border,"Move suggests Putin could extend crisis for weeks as Johnson and Biden agree ‘crucial window for diplomacy’ still exists",2022-02-14T20:52:56Z,Russia,None
30,"US formally accuses Russia of war crimes in Ukraine",https://www.theguardian.com/world/2022/mar/23/russia-war-crimes-ukraine-us-blinken,"Blinken cited ‘indiscriminate attacks and attacks deliberately targeting civilians as well as other atrocities’",2022-03-23T20:34:13Z,Russia,None
31,"Hundreds of Ukrainians forcibly deported to Russia say Mariupol women",https://www.theguardian.com/world/2022/apr/04/hundreds-of-ukrainians-forcibly-deported-to-russia-say-mariupol-women,"Troops ordered women and children on to buses and sent them to ‘filtration camps’ according to witness accounts",2022-04-04T09:50:56Z,Russia,None
32,"British American Tobacco to continue selling cigarettes in Russia",https://www.theguardian.com/business/2022/mar/09/british-american-tobacco-continue-selling-cigarettes-russia-rothmans-sanctions,"London-based Rothmans maker says it will abide by sanctions instead of halting operations in country",2022-03-09T18:04:46Z,Russia,None
33,"TikTok restricts service in Russia and Netflix stops streaming ",https://www.theguardian.com/technology/2022/mar/07/tiktok-restricts-service-in-russia-netflix-stops-streaming-ukraine,"Chinese-owned video platform blocks new content after Kremlin criminalises reporting of Ukraine invasion",2022-03-07T07:27:48Z,Russia,None
34,"Russia near to defaulting on overseas debts says rating agency",https://www.theguardian.com/world/2022/apr/15/russia-near-to-defaulting-on-overseas-debts-says-ratings-agency,"Attempts by Moscow to pay creditors in roubles as a result of being cut off from foreign currency reserves could breach loan terms",2022-04-15T12:42:47Z,Russia,None
35,"Friday briefing: Biden to warn Xi over helping Russia",https://www.theguardian.com/world/2022/mar/18/friday-briefing-biden-xi,"US president calls Putin a ‘murderous dictator’ … P&O condemned for sacking 800 staff … and Britain’s most popular days out",2022-03-18T06:31:34Z,Russia,None
36,"Five of the best books about Russia and Ukraine",https://www.theguardian.com/books/2022/mar/06/five-of-the-best-books-about-russia-and-ukraine,"As Russia wages war the historian Orlando Figes offers a guide to the literature that illuminates the tensions and the myths of the region",2022-03-06T11:00:51Z,Russia,None
37,"Mariupol evacuation postponed as Russia accused of breaking ceasefire",https://www.theguardian.com/world/2022/mar/05/zelenskiy-lashes-out-at-nato-over-no-fly-zone-as-russian-attacks-intensify,"Local authorities in Ukrainian city ask residents to return to shelters and wait for further information",2022-03-05T17:30:38Z,Russia,None
38,"British American Tobacco to continue selling cigarettes in Russia",https://www.theguardian.com/business/2022/mar/09/british-american-tobacco-continue-selling-cigarettes-russia-rothmans-sanctions,"London-based Rothmans maker says it will abide by sanctions instead of halting operations in country",2022-03-09T18:04:46Z,Russia,None
39,"TikTok restricts service in Russia and Netflix stops streaming ",https://www.theguardian.com/technology/2022/mar/07/tiktok-restricts-service-in-russia-netflix-stops-streaming-ukraine,"Chinese-owned video platform blocks new content after Kremlin criminalises reporting of Ukraine invasion",2022-03-07T07:27:48Z,Russia,None
40,"Five of the best books about Russia and Ukraine",https://www.theguardian.com/books/2022/mar/06/five-of-the-best-books-about-russia-and-ukraine,"As Russia wages war the historian Orlando Figes offers a guide to the literature that illuminates the tensions and the myths of the region",2022-03-06T11:00:51Z,Russia,None
