,link,title,country,region,date,lead_par
0,https://www.theguardian.com/world/2022/feb/19/analysis-what-can-the-west-expect-if-putin-gives-order-to-invade,Analysis: what happens if Russia invades?,Russia,N/A,2022-02-19T18:30:41Z,Russia is expected to attack simultaneously on several fronts  but Ukraine’s armed forces will not be easily vanquished
1,https://www.theguardian.com/world/2022/apr/06/eu-sanction-russia-reports-putin-daughters-ukraine,Putin’s daughters targeted in US sanctions against Russia ,Russia,N/A,2022-04-06T15:44:22Z,Joe Biden links new measures directly to accounts of atrocities committed by Russian forces in Bucha
2,https://www.theguardian.com/world/2022/feb/28/switzerland-adopts-wholesale-eu-sanctions-against-russia,Switzerland adopts wholesale EU sanctions against Russia,Russia,N/A,2022-02-28T16:58:36Z,Measures do not undermine neutrality principle as Switzerland says it is acting in defence of international law
3,https://www.theguardian.com/world/2022/feb/24/war-ukraine-kyiv-map-where-has-russia-attacked,War in Ukraine: where has Russia attacked?,Russia,N/A,2022-02-24T19:54:49Z,Russian forces have launched missile and helicopter attacks around Ukraine  and early signs suggest their goal is to encircle Kyiv
4,https://www.theguardian.com/world/2022/mar/21/russia-bans-facebook-and-instagram-under-extremism-law,Russia bans Facebook and Instagram under ‘extremism’ law,Russia,N/A,2022-03-21T17:24:14Z,Court in Moscow labels parent company Meta as ‘extremist’ amid crackdown on western media
5,https://www.theguardian.com/world/2022/apr/04/russia-now-synonymous-with-bucha-massacre-zelenskiy-says-amid-global-outcry-at-civilian-killings,Russia now synonymous with Bucha killings says Zelenskiy,Russia,N/A,2022-04-04T04:55:51Z,Ukraine president says worse atrocities may yet be found elsewhere as satellite images show mass grave near church in Bucha
6,https://www.theguardian.com/world/2022/apr/19/police-scout-for-pro-russian-collaborators-in-eastern-ukraine,Police scout for pro-Russian collaborators in eastern Ukraine,Russia,N/A,2022-04-19T10:55:24Z,Officers in Donetsk say spies pass on coordinates or photographs of targets via Telegram in exchange for cash
7,https://www.theguardian.com/world/2022/apr/12/pro-russia-cavalcade-provokes-shock-anger-ireland,Pro-Russia cavalcade provokes shock and anger in Ireland,Russia,N/A,2022-04-12T11:58:26Z,Outcry after group of vehicles led by 4x4 displaying Russian military’s Z symbol drive in convoy down M50
8,https://www.theguardian.com/world/2022/mar/04/russia-completely-blocks-access-to-facebook-and-twitter,Russia blocks access to Facebook and Twitter,Russia,N/A,2022-03-04T20:05:50Z,Move to block Facebook and Twitter comes as the government passed a bill the criminalizes ‘fake’ reports against the war
9,https://www.theguardian.com/uk-news/2022/apr/11/e-scooter-scheme-could-close-over-dubious-russia-links,E-scooter scheme could close over ‘dubious’ Russia links,Russia,N/A,2022-04-11T18:21:17Z,West of England mayor says Russian investors must sell their shares in Swedish firm Voi or ‘other e-scooters are available’
