,link,title,country,region,date,lead_par
0,https://www.theguardian.com/world/2022/mar/23/historys-debt-to-brave-ukraine-journalists,History’s debt to brave Ukraine journalists | Letter,Ukraine,N/A,2022-03-23T17:47:29Z,Footage  photos and stories obtained to report the news today will be key source material when the conflict is over
1,https://www.theguardian.com/world/2022/mar/17/ukraine-has-exposed-the-wests-hypocrisy,Ukraine has exposed the west’s hypocrisy | Brief letters,Ukraine,N/A,2022-03-17T18:20:31Z,The worst defence | No party for Nazanin Zaghari-Ratcliffe | Class comedy | Dame Caroline Haslett in Sussex | A whole different animal
2,https://www.theguardian.com/world/2022/mar/20/the-power-of-the-new-ukraine-liberals-nationalists-common-cause,The power of the new Ukraine,Ukraine,N/A,2022-03-20T06:00:48Z,How the country has transformed from a Russian client state to a would-be EU nation where liberals and nationalists have found common cause
3,https://www.theguardian.com/world/2022/feb/12/leaving-ukraine-have-you-fled-the-country,Ukraine: have you left the country?,Ukraine,N/A,2022-02-24T09:33:54Z,We’d like to hear from people leaving Ukraine – or remaining – as western countries warn that war could ignite imminently
4,https://www.theguardian.com/world/2022/apr/14/german-chancellor-stalling-heavy-weaponry-ukraine-coalition-olaf-scholz-russia-offensive,German chancellor ‘stalling on heavy weaponry to Ukraine’,Ukraine,N/A,2022-04-14T15:37:01Z,Coalition partners accuse Olaf Scholz of failing to live up to promises as major Russian offensive looms
5,https://www.theguardian.com/world/2022/apr/11/austrian-chancellor-to-tell-putin-he-has-lost-the-war-morally,Austrian chancellor confronts Putin over Ukraine war crimes,Ukraine,N/A,2022-04-11T22:09:03Z,Karl Nehammer becomes first western leader to hold face-to-face talks with Russian president since invasion of Ukraine
6,https://www.theguardian.com/business/2022/apr/19/imf-cuts-global-growth-forecast-over-ukraine-war,IMF cuts global growth forecast over Ukraine war,Ukraine,N/A,2022-04-19T13:12:22Z,Economic gains made after recovery from Covid pandemic could be erased  says expert
7,https://www.theguardian.com/world/2022/apr/13/how-likely-putin-face-genocide-charges-ukraine-atrocities,Will Putin face genocide charges over Ukraine atrocities?,Ukraine,N/A,2022-04-13T12:19:46Z,Joe Biden has accused the Russian president of ‘trying to wipe out the idea of even being Ukrainian’
8,https://www.theguardian.com/food/2022/mar/12/olia-hercules-springtime-recipes-green-borsch-nettle-garlic-soup-cauliflower-fritters-cook-for-ukraine-campaign,Cook for Ukraine: Olia Hercules’ springtime recipes,Ukraine,N/A,2022-03-12T11:00:03Z,Ukrainian-born food writer Olia Hercules serves up two simple springtime recipes from her homeland to highlight the efforts of a major fundraising initiative for Unicef
9,https://www.theguardian.com/world/2022/mar/06/ukraine-putin-dominic-raab-nato-sanctions,Johnson pledges to send Ukraine more weapons and accuses Russia of ‘barbaric attacks’,Ukraine,N/A,2022-03-06T12:07:07Z,PM speaks to President Zelenskiy and says support for those resisting Russian invasion growing ‘every day’
10,https://www.theguardian.com/world/2022/mar/27/indians-reluctant-to-denounce-russian-brothers-over-ukraine,Indians reluctant to denounce Russian ‘brothers’ over Ukraine,Ukraine,N/A,2022-03-27T13:01:57Z,While street-level opinion is even-handed  commentators from right and left are converging on the war
11,https://www.theguardian.com/us-news/2022/mar/04/how-americans-can-help-people-of-ukraine,How Americans can help people of Ukraine,Ukraine,N/A,2022-03-04T11:00:30Z,A number of charities are addressing humanitarian needs and US people can support Ukrainian journalism or get active politically
12,https://www.theguardian.com/world/2022/feb/24/thursday-briefing-russia-invades-ukraine,Thursday briefing: Russia launches attack on Ukraine,Ukraine,N/A,2022-02-24T06:24:27Z,Explosions and airstrikes reported including attack on fighter plane base … dismay at UN security council … President Zelenskiy vows ‘we will defend ourselves’
13,https://www.theguardian.com/politics/2022/mar/21/drawing-parallels-between-brexit-and-war-in-ukraine,Drawing parallels between Brexit and war in Ukraine | Letters,Ukraine,N/A,2022-03-21T17:41:54Z,Don Castle  Mark Walford and Jim Waight react to Boris Johnson’s remark that it’s the instinct of people to choose freedom
14,https://www.theguardian.com/world/2022/mar/21/monday-briefing-mariupol,Monday briefing: Ukraine refuses to give up Mariupol,Ukraine,N/A,2022-03-21T06:28:43Z,Joe Biden to visit Poland on Europe trip … Morad Tahbaz moved from Evin prison to a hotel … and Chloë Sevigny on Hollywood  fame and family
15,https://www.theguardian.com/world/2022/apr/17/ukraine-country-diary-is-a-balm-for-the-soul,Ukraine country diary is a balm for the soul | Letters,Ukraine,N/A,2022-04-17T15:39:35Z,Michael Leeder and Ruth Eversley respond to Oleksandr Ruchko’s account of the arrival of spring and the return of white storks
