,title,url,lead_par,date,region
0,The president-elect is turning to trusted former colleagues to manage complex negotiations with Iran and Russia.,https://www.nytimes.com/2021/01/05/us/politics/biden-national-security-state-officials.html,"WASHINGTON — President-elect Joseph R. Biden Jr. is turning to more veterans of the Obama-Biden administration to fill senior positions on his national security team, including two former officials who played crucial roles in the 2015 Iran nuclear deal, an agreement the Biden administration will seek to restore.",2021-01-06T00:31:31+0000,Asia Pacific
1,Mr. Kim convened the first Workers’ Party Congress in five years to revamp his policies as North Korea’s economic troubles deepened amid international sanctions and the pandemic.,https://www.nytimes.com/2021/01/05/world/asia/north-korea-kim-jong-un-party-congress.html,"SEOUL, South Korea — North Korea’s leader, Kim Jong-un, admitted on Tuesday that his efforts to rebuild the country’s moribund economy have failed, as he opened his country’s biggest political event amid deepening economic trouble caused by the one-two punch of international sanctions and the coronavirus pandemic.",2021-01-06T01:10:23+0000,Asia Pacific
2,The 53 officials and activists were detained under the national security law for their efforts to choose candidates to run in the city’s legislative elections.,https://www.nytimes.com/2021/01/05/world/asia/hong-kong-arrests-national-security-law.html,"HONG KONG — The Hong Kong police arrested 53 elected pro-democracy officials and activists early Wednesday for their involvement in an informal primary election, the largest roundup yet under the new national security law imposed by Beijing to quash dissent.",2021-01-06T01:46:33+0000,Asia Pacific
3,"An emerging #MeToo movement and public horror over “honor killings” helped spur the government’s bill, but it still must be adopted by the country’s conservative Parliament.",https://www.nytimes.com/2021/01/05/world/middleeast/iran-sexual-violence-metoo-women.html,"After a decade of deliberation, Iran’s government approved a bill on Sunday that criminalizes violence and sexual misconduct against women and specifies punishments for perpetrators.",2021-01-06T04:25:18+0000,Asia Pacific
4,"The central Chinese government, which once wielded its power over Hong Kong with a degree of discretion, has signaled its determination to openly impose its will on the city.",https://www.nytimes.com/2021/01/06/world/asia/china-hong-kong-arrests.html,"HONG KONG — They descended before dawn, 1,000 police officers fanning out across Hong Kong to the homes and offices of opposition lawmakers, activists and lawyers. They whisked many off in police cars, often without telling relatives or friends where they were being taken.",2021-01-06T14:05:59+0000,Asia Pacific
5,The Lahore High Court said the practice was humiliating and casts suspicion on victims rather than the accused.,https://www.nytimes.com/2021/01/06/world/asia/pakistan-virginity-tests.html,"KARACHI, Pakistan — A court in the northern city of Lahore in Pakistan has abolished so-called virginity tests, which women are subjected to in sexual assault cases, setting a precedent for the practice to be potentially outlawed nationwide.",2021-01-06T18:09:41+0000,Asia Pacific
6,A pro-Trump mob storms the U.S. Capitol.,https://www.nytimes.com/2021/01/06/briefing/us-capitol-lockdown-trump-hong-kong-arrests.html,The National Guard is being deployed in Washington after a pro-Trump mob swarmed the Capitol. One person was injured from a shot.,2021-01-06T20:15:03+0000,Asia Pacific
7,"An Oxford scientist with a flair for the dramatic, he introduced millions of people to the secrets of their ancestry through his books and TV appearances.",https://www.nytimes.com/2021/01/06/science/bryan-sykes-dead.html,"Bryan Sykes, an Oxford geneticist, made his name as a swashbuckling public intellectual by studying the DNA of an alpine iceman, taking on the ethnographer Thor Heyerdahl’s theory about the peopling of Polynesia, and analyzing samples said to come from yetis, almas and sasquatches but which, he showed, actually came from bears, pigs and people — a disappointing result for Bigfoot hunters that didn’t keep one of them from naming him cryptozoologist of the year in 2013.",2021-01-06T20:26:47+0000,Asia Pacific
8,"We asked readers to tell us about the spots that have delighted, inspired and comforted them in a dark year. Here, 52 of the more than 2,000 suggestions we received, to remind us that the world still awaits.",https://www.nytimes.com/interactive/2021/travel/places-to-visit-vacation.html,"We asked readers to tell us about the spots that have delighted, inspired and comforted them in a dark year. Here, 52 of the more than 2,000 suggestions we received, to remind us that the world still awaits.",2021-01-06T22:27:25+0000,Asia Pacific
9,"A critic for The Times of India and a teacher of youthful energy, he explored a country rich in dance traditions, interviewing hundreds of gurus.",https://www.nytimes.com/2021/01/06/arts/dance/sunil-kothari-dead.html,"Few critics or historians have been so central to the performing arts as Sunil Kothari was to the world of Indian traditional dance. As a critic, scholar and teacher of youthful energy, he explored India’s rich dance spectrum in at least a dozen books, with choreographers and dancers all over the nation coming to know him as both an authority and a friend.",2021-01-06T23:04:42+0000,Asia Pacific
10,"Hong Kong’s abrupt new entry requirement — which has shaken travelers, domestic workers, airlines and hotels alike — stands out for its length and has been questioned by scientists.",https://www.nytimes.com/2021/01/06/world/asia/hong-kong-quarantine.html,"HONG KONG — Before boarding her flight to Hong Kong for a new job last month, Tanja Cunz made sure she had met all of the government’s stringent entry requirements. Ms. Cunz, a 34-year-old museum curator from Switzerland, took a coronavirus test, paid for two weeks of quarantine at a government-designated hotel and steeled herself for half a month without fresh air.",2021-01-07T03:37:59+0000,Asia Pacific
11,"Fast-rising coronavirus case counts and deaths forced Prime Minister Yoshihide Suga to act, but some say the restrictions — mostly voluntary — won’t be enough.",https://www.nytimes.com/2021/01/07/world/asia/japan-tokyo-state-of-emergency.html,"TOKYO — After days of record coronavirus counts and a rapidly rising death toll, Japan declared a state of emergency in Tokyo and three surrounding prefectures on Thursday, the country’s first such declaration since April.",2021-01-07T07:04:23+0000,Asia Pacific
