,title,url,lead_par,date,region
0, "Russia changes focus of Ukraine war to 'liberation of Donbas'", https://www.upi.com/Top_News/World-News/2022/03/25/russia-changes-focus-ukraine-war-liberation-donbas/6461648246250/, "March 25 (UPI) -- The Russian Defense Ministry on Friday appeared to change the focus of the war in Ukraine to the "liberation of Donbas."", March 25 2022, Ukraine
1, "S&P 500, Dow make gains for second week as U.S. stocks end mixed", https://www.upi.com/Top_News/US/2022/03/25/stocks-make-gains-second-week-tumultous-trading/6761648242430/, "March 25 (UPI) -- The S&P 500 and Dow Jones Industrial Average stock indexes made gains for the second consecutive week after a tumultuous day of trading as President Joe Biden continued his visit to Europe to discuss the war in Ukraine.", March 25 2022, Ukraine
2, "Spotify suspends streaming in Russia over Kremlin media censorship", https://www.upi.com/Top_News/World-News/2022/03/25/spotify-suspends-streaming-Russian-media-censorship/1271648237263/, "March 25 (UPI) -- Spotify is suspending services in Russia due to the new Russian law restricting media coverage of the Ukraine war.", March 25 2022, Ukraine
3, "Rudy Giuliani associate Lev Parnas pleads guilty to wire fraud", https://www.upi.com/Top_News/US/2022/03/25/Lev-Parnas-guilty-plea/2911648229882/, "March 25 (UPI) -- A Florida-based political donor linked to Rudy Giuliani pleaded guilty Friday to wire fraud related to an insurance company he co-founded.", March 25 2022, Ukraine
4, "Fridays For Future school climate strikes resume worldwide", https://www.upi.com/Top_News/World-News/2022/03/25/fridays-for-future-school-climate-strikes-greta-thunberg/7501648229431/, "March 25 (UPI) -- Friday marked the resumption of worldwide school climate strikes by young activists intent on sparking action to deal with causes of climate change. Hundreds of protests were expected on all seven continents.", March 25 2022, Ukraine
5, "Finland ends last direct European Union train service with Russia", https://www.upi.com/Top_News/World-News/2022/03/25/Finland-Russia-train-service-ends-Helsinki-St-Petersburg/8771648217992/, "March 25 (UPI) -- The Finland-based train operator VR said Friday it will end its service between Helsinki and St. Petersburg, Russia, because of European Union sanctions.", March 25 2022, Ukraine
6, "Russian airstrike killed 300 at Ukraine theater packed with civilians, officials say", https://www.upi.com/Top_News/World-News/2022/03/25/ukraine-russia-war-mariupol-theater-airstrike/9391648214865/, "March 25 (UPI) -- Officials said Friday that a Russian airstrike last week on a theater in Mariupol, which was being used as a makeshift bomb shelter, killed hundreds of people in what may be the deadliest single attack of the war.", March 25 2022, Ukraine
7, "Google: North Korean hackers targeted U.S. media, IT, crypto firms", https://www.upi.com/Top_News/World-News/2022/03/25/Google-hackers-cyber-crime-attack-malware/1151648211067/, "March 25 (UPI) -- Google has detected multiple attacks by North Korean government-backed hackers against U.S.-based organizations in the news media, IT, fintech and cryptocurrency industries, the company's cybersecurity unit said.", March 25 2022, Ukraine
8, "Russians charged in U.S. for 'historic' hacking rampage against systems worldwide", https://www.upi.com/Top_News/US/2022/03/25/russian-hackers-charged-spies-nuclear-plants/1281648207516/, "March 25 (UPI) -- U.S. and British officials have accused four Russian officials -- including hackers with a Moscow intelligence agency -- with various cybercrimes committed over a period of several years against several countries.", March 25 2022, Ukraine
9, "BBC World Service relaunches shortwave service to Ukraine", https://www.upi.com/Voices/2022/03/25/Bshortwave-radio-Ukraine/7321648209120/, "March 25 (UPI) -- The BBC World Service is restarting four-hour daily shortwave transmissions in English to Ukraine after Russian forces began to deliberately target Ukrainian communications equipment, including the Kyiv television tower.", March 25 2022, Ukraine
